census_tract,long,lat,Applications,One.to.Four.Unit,loan_type,mfrd,year,Hispanic,N.Hispanic,Native,Asian,Black,Pacific,White,Race_Other,Male,Female,Accepted,Denied,Action_Other,Purchase,Improvement,Purpose_Other,Lien.First,Lien.Sub,Med.Spread,Stdv.Spread,Hoepa,Med.Income,Stdv.Income,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,Stdv.Loan,Med.Loan,loan.return,app.growth
45031010700,-80.07564219,34.35419337,38,38,Conventional,1,2018,0,32,0,0,29,0,6,11,20,16,12,21,5,15,7,16,34,4,0.684,0.904482891,38,42,48.45600942,2377,98.32,53800,59,496,1227,46.333567,60,27.65957447,100
45031010800,-80.04176394,34.30510765,62,62,Conventional,16,2018,1,63,1,0,13,1,53,21,33,36,30,16,16,37,1,24,62,0,1.13275,2.082647552,62,47,109.908171,2550,43.92,53800,106,884,1284,56.87991935,85,19.71830986,-21.51898734
45031010900,-79.92540246,34.30263411,189,188,Conventional,53,2018,5,206,0,0,72,0,143,39,114,109,102,56,31,129,7,53,182,7,1,1.82687749,189,47,78.5051592,7251,43.5,53800,90,1905,2829,84.71861099,105,6.060606061,-12.90322581
45031011000,-79.87666408,34.33958892,105,105,Conventional,1,2018,3,97,3,3,30,1,68,28,55,51,70,18,17,52,7,46,98,7,0.92085,1.000523947,105,46,32.83264429,3146,38.84,53800,102,925,1267,40.73433091,115,1.769911504,15.38461538
45031011100,-79.87028262,34.3032611,48,48,Conventional,3,2018,3,49,0,4,14,0,36,8,28,26,27,14,7,27,4,17,44,4,0.5304,0.947076164,48,45,107.1361574,1571,29.66,53800,67,429,849,69.69029767,85,-22.72727273,-5.882352941
45031011200,-79.90147178,34.29865103,78,76,Conventional,18,2018,2,67,2,0,19,0,50,25,37,36,39,27,12,52,3,23,77,1,1.313,2.101450884,78,36,20.92170685,4522,47.19,53800,61,985,1962,84.40276165,75,-10.71428571,-8.235294118
45031011300,-79.76824496,34.32302881,149,149,Conventional,38,2018,2,149,1,1,68,0,85,55,84,81,75,39,35,91,3,55,145,4,0.992,1.300137603,149,54,120.3659222,5637,56.63,53800,92,1664,2551,91.71596111,95,7.344632768,-5.696202532
45031011400,-79.85194251,34.27850704,90,90,Conventional,7,2018,2,96,0,0,37,0,60,18,48,53,42,27,21,35,7,48,80,10,0.501,2.331749512,90,53,58.12829459,4455,77.42,53800,63,1036,1900,99.75375424,105,37.25490196,15.38461538
45031011500,-80.00859753,34.21823329,108,108,Conventional,47,2018,5,114,1,0,43,0,86,18,79,56,44,40,24,73,5,30,100,8,0.669,1.756088985,108,59,74.88929707,4685,49.39,53800,86,1289,1882,109.3577256,85,-6.077348066,-20.58823529
45031011600,-80.07345596,34.15355607,80,80,Conventional,19,2018,2,76,0,0,16,0,66,16,50,35,45,21,14,46,4,30,77,3,0.9225,1.644925109,80,60,43.89965216,3669,45.71,53800,84,955,1544,65.84396111,95,26.66666667,12.67605634
45033970100,-79.41922273,34.52579085,55,55,Conventional,34,2018,3,50,4,0,35,0,20,14,33,26,24,21,10,42,0,13,52,3,1.8615,2.406372866,55,47,97.56501548,3471,72,48300,82,912,1416,51.94337762,75,56.25,12.24489796
45033970200,-79.30584474,34.42378088,111,111,Conventional,60,2018,2,112,2,0,54,0,60,33,55,68,44,43,24,78,7,26,105,6,1.4395,2.515186079,111,40.5,36.5736779,5858,54.06,48300,68,1269,2382,50.99838606,65,6.557377049,0
45033970300,-79.44785535,34.4507573,120,120,Conventional,5,2018,2,134,1,0,42,0,98,31,76,66,83,22,15,55,10,55,110,10,0.674,1.543372656,120,62,52.04806264,5090,49.49,48300,120,1277,2128,57.77813016,85,-6.593406593,-23.56687898
45033970400,-79.38630098,34.39438068,44,43,Conventional,13,2018,0,43,0,0,26,0,21,5,27,20,24,15,5,22,1,21,42,2,1.612,2.579810952,44,36,20.96948305,5283,79.08,48300,59,803,2131,334.9680493,75,3.448275862,-21.42857143
45033970500,-79.20833943,34.32792019,63,63,Conventional,28,2018,6,77,0,0,13,0,69,14,40,47,28,25,10,42,2,19,62,1,1.636,1.757737025,63,55,36.13128734,4018,34.52,48300,85,1143,2097,62.1124956,75,8.695652174,-14.86486486
45033970600,-79.48466595,34.34153449,166,165,Conventional,71,2018,1,171,4,1,67,0,121,35,98,92,89,58,19,110,8,48,159,7,1.358,2.19814453,166,46.5,34.06778929,7715,38.5,48300,78,2165,3131,63.19172886,75,5.633802817,-7.262569832
45035010100,-80.64185229,33.14581363,78,78,Conventional,24,2018,4,85,0,0,18,0,72,26,48,51,45,16,17,41,4,33,75,3,1.04,1.8327383,78,53.5,36.79579371,2153,36.51,74500,89,776,1238,100.6020008,100,28.20512821,-32.17391304
45035010200,-80.56448393,33.18608701,163,163,Conventional,35,2018,2,169,0,0,63,0,120,40,118,67,86,37,40,84,7,72,149,14,0.507,1.664470537,163,56.5,48.93060616,4523,55.21,74500,62,1340,2219,80.23025072,105,12.90322581,-6.857142857
45035010300,-80.44599635,33.1887118,187,187,Conventional,71,2018,4,181,3,0,54,0,158,53,127,88,95,54,38,109,7,71,179,8,0.993,1.630167104,187,58,42.11377817,5489,37.6,74500,61,1737,2397,104.1844324,95,8.571428571,-26.953125
45035010400,-80.34363835,33.0287749,215,215,Conventional,60,2018,6,238,3,2,64,1,186,67,147,113,129,47,39,119,22,74,201,14,0.634,1.436069151,215,64,431.0935609,6696,55.24,74500,74,1532,1995,111.154695,165,-13.15789474,-33.22981366
45035010501,-80.26471393,33.0533033,523,523,Conventional,24,2018,22,528,8,3,69,2,488,203,352,237,372,67,84,316,17,190,490,33,0.584,1.206364005,523,65,186.2338453,5102,29.07,74500,124,1528,1869,71.65457928,205,1.485148515,-20.99697885
45035010503,-80.27075677,32.99911991,362,362,Conventional,32,2018,19,427,6,4,30,0,421,101,259,215,236,58,68,248,22,92,329,33,0.33,1.015471081,362,90.5,56.13743239,2991,17.45,74500,113,838,1108,114.7236928,235,-6.746031746,11.04294479
